Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium
2020,02/02/2020,France,0,England,1,24,17,Stade de France
2020,08/02/2020,Ireland,1,Wales,0,24,14,Aviva Stadium
2020,08/02/2020,Scotland,1,England,0,6,13,Murrayfield Stadium
2020,09/02/2020,France,1,Italy,0,35,22,Stade de France
2020,22/02/2020,Italy,0,Scotland,0,0,17,Stadio Olimpico
2020,22/02/2020,Wales,1,France,0,23,27,Millennium Stadium
2020,23/02/2020,England,0,Ireland,0,24,12,Twickenham Stadium
2020,07/03/2020,England,0,Wales,1,33,30,Twickenham Stadium
2020,08/03/2020,Scotland,0,France,0,28,17,Murrayfield Stadium
2020,24/10/2020,Ireland,1,Italy,0,50,17,Aviva Stadium
2020,31/10/2020,Wales,1,Scotland,0,10,14,Parc y Scarlets
2020,31/10/2020,Italy,0,England,1,5,34,Stadio Olimpico
2020,31/10/2020,France,1,Ireland,0,35,27,Stade de France
2021,06/02/2021,Italy,0,France,1,10,50,Stadio Olimpico
2021,06/02/2021,England,1,Scotland,0,6,11,Twickenham Stadium
2021,07/02/2021,Wales,0,Ireland,1,21,16,Millennium Stadium
2021,13/02/2021,England,1,Italy,0,41,18,Twickenham Stadium
2021,13/02/2021,Scotland,1,Wales,1,24,25,Murrayfield Stadium
2021,14/02/2021,Ireland,1,France,0,13,15,Aviva Stadium
2021,27/02/2021,Italy,0,Ireland,1,10,48,Stadio Olimpico
2021,27/02/2021,Wales,1,England,0,40,24,Millennium Stadium
2021,13/03/2021,Italy,0,Wales,1,7,48,Stadio Olimpico
2021,13/03/2021,England,0,France,1,23,20,Twickenham Stadium
2021,14/03/2021,Scotland,1,Ireland,0,24,27,Murrayfield Stadium
2021,20/03/2021,Scotland,1,Italy,0,52,10,Murrayfield Stadium
2021,20/03/2021,Ireland,0,England,0,32,18,Aviva Stadium
2021,20/03/2021,France,1,Wales,1,32,30,Stade de France
2021,26/03/2021,France,1,Scotland,0,23,27,Stade de France
2022,05/02/2022,Ireland,1,Wales,0,29,7,Aviva Stadium
2022,05/02/2022,Scotland,0,England,1,20,17,Murrayfield Stadium
2022,06/02/2022,France,1,Italy,0,37,10,Stade de France
2022,12/02/2022,Wales,0,Scotland,1,20,17,Millennium Stadium
2022,12/02/2022,France,0,Ireland,1,30,24,Stade de France
2022,13/02/2022,Italy,0,England,1,0,33,Stadio Olimpico
2022,26/02/2022,Scotland,0,France,1,17,36,Murrayfield Stadium
2022,26/02/2022,England,0,Wales,1,23,19,Twickenham Stadium
2022,27/02/2022,Ireland,1,Italy,0,57,6,Aviva Stadium
2022,11/03/2022,Wales,1,France,0,9,13,Millennium Stadium
2022,12/03/2022,Italy,0,Scotland,1,22,33,Stadio Olimpico
